,year_ceremony,category,film,name,cca
1,1995,Actress In A Leading Role,To Die For ,Nicole Kidman,Winner
2,1996,Actress In A Leading Role,Fargo ,Frances McDormand,Winner
3,1997,Actress In A Leading Role,The Wings of the Dove ,Helena Bonham Carter,Winner
4,1998,Actress In A Leading Role,Elizabeth ,Cate Blanchett ,Winner
5,1999,Actress In A Leading Role,Boys Don't Cry ,Hilary Swank,Winner
6,2000,Actress In A Leading Role,Erin Brockovich ,Julia Roberts,Winner
7,2001,Actress In A Leading Role,In the Bedroom ,Sissy Spacek,Winner
8,2001,Actress In A Leading Role,Moulin Rouge!,Nicole Kidman,Nominee
9,2001,Actress In A Leading Role,Bridget Jones's Diary,Renée Zellweger,Nominee
10,2002,Actress In A Leading Role,Far from Heaven ,Julianne Moore,Winner
11,2002,Actress In A Leading Role,Frida,Salma Hayek,Nominee
12,2002,Actress In A Leading Role,The Hours,Nicole Kidman,Nominee
13,2002,Actress In A Leading Role,Unfaithful,Diane Lane,Nominee
14,2003,Actress In A Leading Role,Monster ,Charlize Theron,Winner
15,2003,Actress In A Leading Role,House of Sand and Fog,Jennifer Connelly,Nominee
16,2003,Actress In A Leading Role,Something's Gotta Give,Diane Keaton,Nominee
17,2003,Actress In A Leading Role,Cold Mountain,Nicole Kidman,Nominee
18,2003,Actress In A Leading Role,In America,Samantha Morton,Nominee
19,2003,Actress In A Leading Role,21 Grams,Naomi Watts,Nominee
20,2004,Actress In A Leading Role,Million Dollar Baby ,Hilary Swank,Winner
21,2004,Actress In A Leading Role,Being Julia,Annette Bening,Nominee
22,2004,Actress In A Leading Role,Maria Full of Grace,Catalina Sandino Moreno,Nominee
23,2004,Actress In A Leading Role,Vera Drake,Imelda Staunton,Nominee
24,2004,Actress In A Leading Role,Eternal Sunshine of the Spotless Mind,Kate Winslet,Nominee
25,2004,Actress In A Leading Role,Kill Bill: Volume 2,Uma Thurman,Nominee
26,2005,Actress In A Leading Role,Walk the Line ,Reese Witherspoon,Winner
27,2005,Actress In A Leading Role,The Upside of Anger,Joan Allen,Nominee
28,2005,Actress In A Leading Role,Mrs Henderson Presents,Judi Dench,Nominee
29,2005,Actress In A Leading Role,Transamerica,Felicity Huffman,Nominee
30,2005,Actress In A Leading Role,Pride & Prejudice,Keira Knightley,Nominee
31,2005,Actress In A Leading Role,North Country,Charlize Theron,Nominee
32,2006,Actress In A Leading Role,The Queen ,Helen Mirren,Winner
33,2006,Actress In A Leading Role,Volver,Penélope Cruz,Nominee
34,2006,Actress In A Leading Role,Notes on a Scandal,Judi Dench,Nominee
35,2006,Actress In A Leading Role,The Devil Wears Prada,Meryl Streep,Nominee
36,2006,Actress In A Leading Role,Little Children,Kate Winslet,Nominee
37,2007,Actress In A Leading Role,Away from Her ,Julie Christie ,Winner
38,2007,Actress In A Leading Role,Enchanted,Amy Adams,Nominee
39,2007,Actress In A Leading Role,Elizabeth: The Golden Age,Cate Blanchett,Nominee
40,2007,Actress In A Leading Role,La Vie en Rose,Marion Cotillard,Nominee
41,2007,Actress In A Leading Role,A Mighty Heart,Angelina Jolie,Nominee
42,2007,Actress In A Leading Role,Juno,Elliot Page,Nominee
43,2008,Actress In A Leading Role,Rachel Getting Married ,Anne Hathaway ,Winner
44,2008,Actress In A Leading Role,Doubt ,Meryl Streep ,Winner
45,2008,Actress In A Leading Role,Nothing but the Truth,Kate Beckinsale,Nominee
46,2008,Actress In A Leading Role,The Curious Case of Benjamin Button,Cate Blanchett,Nominee
47,2008,Actress In A Leading Role,Changeling,Angelina Jolie,Nominee
48,2008,Actress In A Leading Role,Frozen River,Melissa Leo,Nominee
49,2009,Actress In A Leading Role,The Blind Side ,Sandra Bullock ,Winner
50,2009,Actress In A Leading Role,Julie & Julia ,Meryl Streep ,Winner
51,2009,Actress In A Leading Role,The Young Victoria,Emily Blunt,Nominee
52,2009,Actress In A Leading Role,An Education,Carey Mulligan,Nominee
53,2009,Actress In A Leading Role,The Lovely Bones,Saoirse Ronan,Nominee
54,2009,Actress In A Leading Role,Precious,Gabourey Sidibe,Nominee
55,2010,Actress In A Leading Role,Black Swan ,Natalie Portman,Winner
56,2010,Actress In A Leading Role,The Kids Are All Right,Annette Bening,Nominee
57,2010,Actress In A Leading Role,Rabbit Hole,Nicole Kidman,Nominee
58,2010,Actress In A Leading Role,Winter's Bone,Jennifer Lawrence,Nominee
59,2010,Actress In A Leading Role,The Girl with the Dragon Tattoo,Noomi Rapace,Nominee
60,2010,Actress In A Leading Role,Blue Valentine,Michelle Williams,Nominee
61,2011,Actress In A Leading Role,The Help ,Viola Davis,Winner
62,2011,Actress In A Leading Role,Martha Marcy May Marlene,Elizabeth Olsen,Nominee
63,2011,Actress In A Leading Role,The Iron Lady,Meryl Streep,Nominee
64,2011,Actress In A Leading Role,We Need to Talk About Kevin,Tilda Swinton,Nominee
65,2011,Actress In A Leading Role,Young Adult,Charlize Theron,Nominee
66,2011,Actress In A Leading Role,My Week with Marilyn,Michelle Williams,Nominee
67,2012,Actress In A Leading Role,Zero Dark Thirty ,Jessica Chastain,Winner
68,2012,Actress In A Leading Role,Rust and Bone,Marion Cotillard,Nominee
69,2012,Actress In A Leading Role,Silver Linings Playbook,Jennifer Lawrence,Nominee
70,2012,Actress In A Leading Role,Amour,Emmanuelle Riva,Nominee
71,2012,Actress In A Leading Role,Beasts of the Southern Wild,Quvenzhané Wallis,Nominee
72,2012,Actress In A Leading Role,The Impossible,Naomi Watts,Nominee
73,2013,Actress In A Leading Role,Blue Jasmine ,Cate Blanchett,Winner
74,2013,Actress In A Leading Role,Gravity,Sandra Bullock,Nominee
75,2013,Actress In A Leading Role,Philomena ,Judi Dench,Nominee
76,2013,Actress In A Leading Role,Short Term 12,Brie Larson,Nominee
77,2013,Actress In A Leading Role,August: Osage County,Meryl Streep,Nominee
78,2013,Actress In A Leading Role,Saving Mr. Banks,Emma Thompson,Nominee
79,2014,Actress In A Leading Role,Still Alice ,Julianne Moore,Winner
80,2014,Actress In A Leading Role,Cake,Jennifer Aniston,Nominee
81,2014,Actress In A Leading Role,"Two Days, One Night",Marion Cotillard,Nominee
82,2014,Actress In A Leading Role,The Theory of Everything,Felicity Jones,Nominee
83,2014,Actress In A Leading Role,Gone Girl,Rosamund Pike,Nominee
84,2014,Actress In A Leading Role,Wild,Reese Witherspoon,Nominee
85,2015,Actress In A Leading Role,Room ,Brie Larson,Winner
86,2015,Actress In A Leading Role,Carol,Cate Blanchett,Nominee
87,2015,Actress In A Leading Role,Joy ,Jennifer Lawrence,Nominee
88,2015,Actress In A Leading Role,45 Years,Charlotte Rampling,Nominee
89,2015,Actress In A Leading Role,Brooklyn,Saoirse Ronan,Nominee
90,2015,Actress In A Leading Role,Mad Max: Fury Road,Charlize Theron,Nominee
91,2016,Actress In A Leading Role,Jackie ,Natalie Portman,Winner
92,2016,Actress In A Leading Role,Arrival,Amy Adams,Nominee
93,2016,Actress In A Leading Role,20th Century Women,Annette Bening,Nominee
94,2016,Actress In A Leading Role,Elle,Isabelle Huppert,Nominee
95,2016,Actress In A Leading Role,Loving,Ruth Negga,Nominee
96,2016,Actress In A Leading Role,La La Land,Emma Stone,Nominee
97,2017,Actress In A Leading Role,"Three Billboards Outside Ebbing, Missouri ",Frances McDormand,Winner
98,2017,Actress In A Leading Role,Molly's Game,Jessica Chastain,Nominee
99,2017,Actress In A Leading Role,The Shape of Water,Sally Hawkins,Nominee
100,2017,Actress In A Leading Role,"I, Tonya",Margot Robbie,Nominee
101,2017,Actress In A Leading Role,Lady Bird,Saoirse Ronan,Nominee
102,2017,Actress In A Leading Role,The Post,Meryl Streep,Nominee
103,2018,Actress In A Leading Role,The Wife,Glenn Close ,Winner
104,2018,Actress In A Leading Role,A Star Is Born,Lady Gaga ,Winner
105,2018,Actress In A Leading Role,Roma,Yalitza Aparicio,Nominee
106,2018,Actress In A Leading Role,Mary Poppins Returns,Emily Blunt,Nominee
107,2018,Actress In A Leading Role,Hereditary,Toni Collette,Nominee
108,2018,Actress In A Leading Role,The Favourite,Olivia Colman,Nominee
109,2018,Actress In A Leading Role,Can You Ever Forgive Me?,Melissa McCarthy,Nominee
110,2019,Actress In A Leading Role,Judy,Renée Zellweger,Winner
111,2019,Actress In A Leading Role,The Farewell,Awkwafina,Nominee
112,2019,Actress In A Leading Role,Harriet,Cynthia Erivo,Nominee
113,2019,Actress In A Leading Role,Marriage Story,Scarlett Johansson,Nominee
114,2019,Actress In A Leading Role,Us,Lupita Nyong'o,Nominee
115,2019,Actress In A Leading Role,Little Women,Saoirse Ronan,Nominee
116,2019,Actress In A Leading Role,Bombshell,Charlize Theron,Nominee
117,2020,Actress In A Leading Role,Promising Young Woman,Carey Mulligan,Winner
118,2020,Actress In A Leading Role,Ma Rainey's Black Bottom,Viola Davis,Nominee
119,2020,Actress In A Leading Role,The United States vs. Billie Holiday,Andra Day,Nominee
120,2020,Actress In A Leading Role,Never Rarely Sometimes Always,Sidney Flanigan,Nominee
121,2020,Actress In A Leading Role,Pieces of a Woman,Vanessa Kirby,Nominee
122,2020,Actress In A Leading Role,Nomadland,Frances McDormand,Nominee
123,2020,Actress In A Leading Role,Malcolm & Marie,Zendaya,Nominee
124,2021,Actress In A Leading Role,The Eyes of Tammy Faye,Jessica Chastain,Winner
125,2021,Actress In A Leading Role,The Lost Daughter,Olivia Colman,Nominee
126,2021,Actress In A Leading Role,House of Gucci,Lady Gaga,Nominee
127,2021,Actress In A Leading Role,Licorice Pizza,Alana Haim,Nominee
128,2021,Actress In A Leading Role,Being the Ricardos,Nicole Kidman,Nominee
129,2021,Actress In A Leading Role,Spencer,Kristen Stewart,Nominee
130,2022,Actress In A Leading Role,Tár,Cate Blanchett,Winner
131,2022,Actress In A Leading Role,The Woman King,Viola Davis,Nominee
132,2022,Actress In A Leading Role,Till,Danielle Deadwyler,Nominee
133,2022,Actress In A Leading Role,Babylon,Margot Robbie,Nominee
134,2022,Actress In A Leading Role,The Fabelmans,Michelle Williams,Nominee
135,2022,Actress In A Leading Role,Everything Everywhere All at Once,Michelle Yeoh,Nominee
