,year_ceremony,category,name,film,bafta
2865,1990,Directing,Kenneth Branagh,Henry V,Winner
2866,1990,Directing,Stephen Frears,Dangerous Liaisons,Nominee
2867,1990,Directing,Peter Weir,Dead Poets Society,Nominee
2868,1990,Directing,Alan Parker,Mississippi Burning,Nominee
2873,1990,Actor in a Leading Role,Daniel Day-Lewis,My Left Foot,Winner
2874,1990,Actor in a Leading Role,Kenneth Branagh,Henry V,Nominee
2875,1990,Actor in a Leading Role,Dustin Hoffman,Rain Man,Nominee
2876,1990,Actor in a Leading Role,Robin Williams,Dead Poets Society,Nominee
2877,1990,Actor in a Supporting Role,Ray McAnally,My Left Foot,Winner
2878,1990,Actor in a Supporting Role,Marlon Brando,A Dry White Season,Nominee
2879,1990,Actor in a Supporting Role,Sean Connery,Indiana Jones And The Last Crusade,Nominee
2880,1990,Actor in a Supporting Role,Jack Nicholson,Batman,Nominee
2881,1990,Actress in a Leading Role,Pauline Collins,Shirley Valentine,Winner
2882,1990,Actress in a Leading Role,Glenn Close,Dangerous Liaisons,Nominee
2883,1990,Actress in a Leading Role,Jodie Foster,The Accused,Nominee
2884,1990,Actress in a Leading Role,Melanie Griffith,Working Girl,Nominee
2885,1990,Actress in a Supporting Role,Michelle Pfeiffer,Dangerous Liaisons,Winner
2886,1990,Actress in a Supporting Role,Peggy Ashcroft,Madame Sousatzka,Nominee
2887,1990,Actress in a Supporting Role,Laura San Giacomo,"Sex, Lies And Videotape",Nominee
2888,1990,Actress in a Supporting Role,Sigourney Weaver,Working Girl,Nominee
2889,1990,Writing (Adapted Screenplay),Christopher Hampton,Dangerous Liaisons,Winner
2890,1990,Writing (Adapted Screenplay),"Frank Galati, Lawrence Kasdan",The Accidental Tourist,Nominee
2891,1990,Writing (Adapted Screenplay),"Shane Connaughton, Jim Sheridan",My Left Foot,Nominee
2892,1990,Writing (Adapted Screenplay),Willy Russell,Shirley Valentine,Nominee
2906,1990,Best Picture,"Steven Haft, Paul Junger Witt, Tony Thomas, Peter Weir",Dead Poets Society,Winner
2907,1990,Best Picture,"Noel Pearson, Jim Sheridan",My Left Foot,Nominee
2908,1990,Best Picture,Lewis Gilbert,Shirley Valentine,Nominee
2909,1990,Best Picture,Rob Reiner,When Harry Met Sally,Nominee
2926,1990,Writing (Original Screenplay),Nora Ephron,When Harry Met Sally,Winner
2927,1990,Writing (Original Screenplay),Tom Schulman,Dead Poets Society,Nominee
2928,1990,Writing (Original Screenplay),"Ronald Bass, Barry Morrow",Rain Man,Nominee
2929,1990,Writing (Original Screenplay),Steven Soderbergh,"Sex, Lies And Videotape",Nominee
2950,1991,Directing,Martin Scorsese,Goodfellas,Winner
2951,1991,Directing,Giuseppe Tornatore,Cinema Paradiso,Nominee
2952,1991,Directing,Woody Allen,Crimes And Misdemeanors,Nominee
2953,1991,Directing,Bruce Beresford,Driving Miss Daisy,Nominee
2958,1991,Actor in a Leading Role,Philippe Noiret,Cinema Paradiso,Winner
2959,1991,Actor in a Leading Role,Sean Connery,The Hunt For Red October,Nominee
2960,1991,Actor in a Leading Role,Tom Cruise,Born On The Fourth Of July,Nominee
2961,1991,Actor in a Leading Role,Robert De Niro,Goodfellas,Nominee
2962,1991,Actor in a Supporting Role,Salvatore Cascio,Cinema Paradiso,Winner
2963,1991,Actor in a Supporting Role,Alan Alda,Crimes And Misdemeanors,Nominee
2964,1991,Actor in a Supporting Role,John Hurt,The Field,Nominee
2965,1991,Actor in a Supporting Role,Al Pacino,Dick Tracy,Nominee
2966,1991,Actress in a Leading Role,Jessica Tandy,Driving Miss Daisy,Winner
2967,1991,Actress in a Leading Role,Shirley MacLaine,Postcards From The Edge,Nominee
2968,1991,Actress in a Leading Role,Michelle Pfeiffer,The Fabulous Baker Boys,Nominee
2969,1991,Actress in a Leading Role,Julia Roberts,Pretty Woman,Nominee
2970,1991,Actress in a Supporting Role,Whoopi Goldberg,Ghost,Winner
2971,1991,Actress in a Supporting Role,Anjelica Huston,Crimes And Misdemeanors,Nominee
2972,1991,Actress in a Supporting Role,Shirley MacLaine,Steel Magnolias,Nominee
2973,1991,Actress in a Supporting Role,Billie Whitelaw,The Krays,Nominee
2974,1991,Writing (Adapted Screenplay),"Nicholas Pileggi, Martin Scorsese",Goodfellas,Winner
2975,1991,Writing (Adapted Screenplay),"Oliver Stone, Ron Kovic",Born On The Fourth Of July,Nominee
2976,1991,Writing (Adapted Screenplay),Alfred Uhry,Driving Miss Daisy,Nominee
2977,1991,Writing (Adapted Screenplay),Carrie Fisher,Postcards From The Edge,Nominee
2978,1991,Writing (Adapted Screenplay),Michael Leeson,War Of The Roses,Nominee
2992,1991,Best Picture,"Irwin Winkler, Martin Scorsese",Goodfellas,Winner
2993,1991,Best Picture,"Robert Greenhut, Woody Allen",Crimes And Misdemeanors,Nominee
2994,1991,Best Picture,"Richard D Zanuck, Lili Fini Zanuck, Bruce Beresford",Driving Miss Daisy,Nominee
2995,1991,Best Picture,"Arnon Milchan, Steven Reuther, Garry Marshall",Pretty Woman,Nominee
3012,1991,Writing (Original Screenplay),Giuseppe Tornatore,Cinema Paradiso,Winner
3013,1991,Writing (Original Screenplay),Woody Allen,Crimes And Misdemeanors,Nominee
3014,1991,Writing (Original Screenplay),Bruce Joel Rubin,Ghost,Nominee
3015,1991,Writing (Original Screenplay),JF Lawton,Pretty Woman,Nominee
3040,1992,Actor in a Leading Role,Anthony Hopkins,The Silence Of The Lambs,Winner
3041,1992,Actor in a Leading Role,Kevin Costner,Dances With Wolves,Nominee
3042,1992,Actor in a Leading Role,Gerard Depardieu,Cyrano De Bergerac,Nominee
3043,1992,Actor in a Leading Role,Alan Rickman,"Truly, Madly, Deeply",Nominee
3044,1992,Actor in a Supporting Role,Alan Rickman,Robin Hood: Prince Of Thieves,Winner
3045,1992,Actor in a Supporting Role,Alan Bates,Hamlet,Nominee
3046,1992,Actor in a Supporting Role,Derek Jacobi,Dead Again,Nominee
3047,1992,Actor in a Supporting Role,Andrew Strong,The Commitments,Nominee
3048,1992,Actress in a Leading Role,Jodie Foster,The Silence Of The Lambs,Winner
3049,1992,Actress in a Leading Role,Geena Davis,Thelma And Louise,Nominee
3050,1992,Actress in a Leading Role,Susan Sarandon,Thelma And Louise,Nominee
3051,1992,Actress in a Leading Role,Juliet Stevenson,"Truly, Madly, Deeply",Nominee
3052,1992,Actress in a Supporting Role,Kate Nelligan,Frankie And Johnny,Winner
3053,1992,Actress in a Supporting Role,Annette Bening,The Grifters,Nominee
3054,1992,Actress in a Supporting Role,Amanda Plummer,The Fisher King,Nominee
3055,1992,Actress in a Supporting Role,Julie Walters,Stepping Out,Nominee
3056,1992,Writing (Adapted Screenplay),"Dick Clement, Ian La Frenais, Roddy Doyle",The Commitments,Winner
3057,1992,Writing (Adapted Screenplay),"Jean-Paul Rappeneau, Jean-Claude Carrière",Cyrano De Bergerac,Nominee
3058,1992,Writing (Adapted Screenplay),Michael Blake,Dances With Wolves,Nominee
3059,1992,Writing (Adapted Screenplay),Ted Tally,The Silence Of The Lambs,Nominee
3077,1992,Best Picture,"Roger Randall-Cutler, Lynda Myles, Alan Parker",The Commitments,Winner
3078,1992,Best Picture,"Kevin Costner, Jim Wilson",Dances With Wolves,Nominee
3079,1992,Best Picture,"Edward Saxon, Kenneth Utt, Ron Bozman, Jonathan Demme",The Silence Of The Lambs,Nominee
3080,1992,Best Picture,"Mimi Polk, Ridley Scott",Thelma And Louise,Nominee
3093,1992,Writing (Original Screenplay),Anthony Minghella,"Truly, Madly, Deeply",Winner
3094,1992,Writing (Original Screenplay),Richard LaGravenese,The Fisher King,Nominee
3095,1992,Writing (Original Screenplay),Peter Weir,Green Card,Nominee
3096,1992,Writing (Original Screenplay),Callie Khouri,Thelma And Louise,Nominee
3122,1993,Actor in a Leading Role,Robert Downey Jr.,Chaplin,Winner
3123,1993,Actor in a Leading Role,Daniel Day-Lewis,The Last Of The Mohicans,Nominee
3124,1993,Actor in a Leading Role,Stephen Rea,The Crying Game,Nominee
3125,1993,Actor in a Leading Role,Tim Robbins,The Player,Nominee
3126,1993,Actor in a Supporting Role,Gene Hackman,Unforgiven,Winner
3127,1993,Actor in a Supporting Role,Jaye Davidson,The Crying Game,Nominee
3128,1993,Actor in a Supporting Role,Tommy Lee Jones,JFK,Nominee
3129,1993,Actor in a Supporting Role,Samuel West,Howards End,Nominee
3130,1993,Actress in a Leading Role,Emma Thompson,Howards End,Winner
3131,1993,Actress in a Leading Role,Judy Davis,Husbands And Wives,Nominee
3132,1993,Actress in a Leading Role,Tara Morice,Strictly Ballroom,Nominee
3133,1993,Actress in a Leading Role,Jessica Tandy,Fried Green Tomatoes At The Whistle Stop Café,Nominee
3134,1993,Actress in a Supporting Role,Miranda Richardson,Damage,Winner
3135,1993,Actress in a Supporting Role,Kathy Bates,Fried Green Tomatoes At The Whistle Stop Café,Nominee
3136,1993,Actress in a Supporting Role,Helena Bonham Carter,Howards End,Nominee
