,year_ceremony,category,film,name,cca
1,1995,Best Picture,Sense and Sensibility,Ang Lee,Winner
2,1996,Best Picture,Fargo,Joel Coen and Ethan Coen,Winner
3,1996,Best Picture,Big Night,Campbell Scott and Stanley Tucci,Nominee
4,1996,Best Picture,The Crucible,Nicholas Hytner,Nominee
5,1996,Best Picture,The English Patient,Anthony Minghella,Nominee
6,1996,Best Picture,Evita,Alan Parker,Nominee
7,1996,Best Picture,Hamlet,Kenneth Branagh,Nominee
8,1996,Best Picture,Jerry Maguire,Cameron Crowe,Nominee
9,1996,Best Picture,Lone Star,John Sayles,Nominee
10,1996,Best Picture,The People vs. Larry Flynt,Miloš Forman,Nominee
11,1996,Best Picture,Shine,Scott Hicks,Nominee
12,1997,Best Picture,L.A. Confidential,Curtis Hanson,Winner
13,1997,Best Picture,Amistad,Steven Spielberg,Nominee
14,1997,Best Picture,As Good as It Gets,James L. Brooks,Nominee
15,1997,Best Picture,Boogie Nights,Paul Thomas Anderson,Nominee
16,1997,Best Picture,Donnie Brasco,Mike Newell,Nominee
17,1997,Best Picture,Good Will Hunting,Gus Van Sant,Nominee
18,1997,Best Picture,The Full Monty,Peter Cattaneo,Nominee
19,1997,Best Picture,Titanic,James Cameron,Nominee
20,1997,Best Picture,Wag the Dog,Barry Levinson,Nominee
21,1997,Best Picture,The Wings of the Dove,Iain Softley,Nominee
22,1998,Best Picture,Saving Private Ryan,Steven Spielberg,Winner
23,1998,Best Picture,Elizabeth,Shekhar Kapur,Nominee
24,1998,Best Picture,Gods and Monsters,Bill Condon,Nominee
25,1998,Best Picture,Life Is Beautiful,Roberto Benigni,Nominee
26,1998,Best Picture,Out of Sight,Steven Soderbergh,Nominee
27,1998,Best Picture,Pleasantville,Gary Ross,Nominee
28,1998,Best Picture,Shakespeare in Love,John Madden,Nominee
29,1998,Best Picture,A Simple Plan,Sam Raimi,Nominee
30,1998,Best Picture,The Thin Red Line,Terrence Malick,Nominee
31,1998,Best Picture,The Truman Show,Peter Weir,Nominee
32,1999,Best Picture,American Beauty,Sam Mendes,Winner
33,1999,Best Picture,Being John Malkovich,Spike Jonze,Nominee
34,1999,Best Picture,The Cider House Rules,Lasse Hallström,Nominee
35,1999,Best Picture,The Green Mile,Frank Darabont,Nominee
36,1999,Best Picture,The Insider,Michael Mann,Nominee
37,1999,Best Picture,Magnolia,Paul Thomas Anderson,Nominee
38,1999,Best Picture,Man on the Moon,Miloš Forman,Nominee
39,1999,Best Picture,The Sixth Sense,M. Night Shyamalan,Nominee
40,1999,Best Picture,The Talented Mr. Ripley,Anthony Minghella,Nominee
41,1999,Best Picture,Three Kings,David O. Russell,Nominee
42,2000,Best Picture,Gladiator,Ridley Scott,Winner
43,2000,Best Picture,Almost Famous,Cameron Crowe,Nominee
44,2000,Best Picture,Billy Elliot,Stephen Daldry,Nominee
45,2000,Best Picture,Cast Away,Robert Zemeckis,Nominee
46,2000,Best Picture,"Crouching Tiger, Hidden Dragon",Ang Lee,Nominee
47,2000,Best Picture,Erin Brockovich,Steven Soderbergh,Nominee
48,2000,Best Picture,Quills,Philip Kaufman,Nominee
49,2000,Best Picture,Thirteen Days,Roger Donaldson,Nominee
50,2000,Best Picture,Traffic,Steven Soderbergh,Nominee
51,2000,Best Picture,Wonder Boys,Curtis Hanson,Nominee
52,2000,Best Picture,You Can Count on Me,Kenneth Lonergan,Nominee
53,2001,Best Picture,A Beautiful Mind,Ron Howard,Winner
54,2001,Best Picture,Ali,Michael Mann,Nominee
55,2001,Best Picture,In the Bedroom,Todd Field,Nominee
56,2001,Best Picture,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Nominee
57,2001,Best Picture,The Man Who Wasn't There,Joel Coen,Nominee
58,2001,Best Picture,Memento,Christopher Nolan,Nominee
59,2001,Best Picture,Moulin Rouge!,Baz Luhrmann,Nominee
60,2001,Best Picture,Mulholland Drive,David Lynch,Nominee
61,2001,Best Picture,The Shipping News,Lasse Hallström,Nominee
62,2001,Best Picture,Shrek,Andrew Adamson and Vicky Jenson,Nominee
63,2002,Best Picture,Chicago,Rob Marshall,Winner
64,2002,Best Picture,About Schmidt,Alexander Payne,Nominee
65,2002,Best Picture,Adaptation.,Spike Jonze,Nominee
66,2002,Best Picture,Catch Me If You Can,Steven Spielberg,Nominee
67,2002,Best Picture,Far from Heaven,Todd Haynes,Nominee
68,2002,Best Picture,Gangs of New York,Martin Scorsese,Nominee
69,2002,Best Picture,The Hours,Stephen Daldry,Nominee
70,2002,Best Picture,The Lord of the Rings: The Two Towers,Peter Jackson,Nominee
71,2002,Best Picture,The Pianist,Roman Polanski,Nominee
72,2002,Best Picture,Road to Perdition,Sam Mendes,Nominee
73,2003,Best Picture,The Lord of the Rings: The Return of the King,Peter Jackson,Winner
74,2003,Best Picture,Big Fish,Tim Burton,Nominee
75,2003,Best Picture,Cold Mountain,Anthony Minghella,Nominee
76,2003,Best Picture,Finding Nemo,Andrew Stanton,Nominee
77,2003,Best Picture,In America,Jim Sheridan,Nominee
78,2003,Best Picture,The Last Samurai,Edward Zwick,Nominee
79,2003,Best Picture,Lost in Translation,Sofia Coppola,Nominee
