,year_ceremony,category,film,name,cca
0,1995,Best Picture,Sense and Sensibility,Ang Lee,Winner
1,1996,Best Picture,Fargo,Joel Coen and Ethan Coen,Winner
2,1996,Best Picture,Big Night,Campbell Scott and Stanley Tucci,Nominee
3,1996,Best Picture,The Crucible,Nicholas Hytner,Nominee
4,1996,Best Picture,The English Patient,Anthony Minghella,Nominee
5,1996,Best Picture,Evita,Alan Parker,Nominee
6,1996,Best Picture,Hamlet,Kenneth Branagh,Nominee
7,1996,Best Picture,Jerry Maguire,Cameron Crowe,Nominee
8,1996,Best Picture,Lone Star,John Sayles,Nominee
9,1996,Best Picture,The People vs. Larry Flynt,Miloš Forman,Nominee
10,1996,Best Picture,Shine,Scott Hicks,Nominee
11,1997,Best Picture,L.A. Confidential,Curtis Hanson,Winner
12,1997,Best Picture,Amistad,Steven Spielberg,Nominee
13,1997,Best Picture,As Good as It Gets,James L. Brooks,Nominee
14,1997,Best Picture,Boogie Nights,Paul Thomas Anderson,Nominee
15,1997,Best Picture,Donnie Brasco,Mike Newell,Nominee
16,1997,Best Picture,Good Will Hunting,Gus Van Sant,Nominee
17,1997,Best Picture,The Full Monty,Peter Cattaneo,Nominee
18,1997,Best Picture,Titanic,James Cameron,Nominee
19,1997,Best Picture,Wag the Dog,Barry Levinson,Nominee
20,1997,Best Picture,The Wings of the Dove,Iain Softley,Nominee
21,1998,Best Picture,Saving Private Ryan,Steven Spielberg,Winner
22,1998,Best Picture,Elizabeth,Shekhar Kapur,Nominee
23,1998,Best Picture,Gods and Monsters,Bill Condon,Nominee
24,1998,Best Picture,Life Is Beautiful,Roberto Benigni,Nominee
25,1998,Best Picture,Out of Sight,Steven Soderbergh,Nominee
26,1998,Best Picture,Pleasantville,Gary Ross,Nominee
27,1998,Best Picture,Shakespeare in Love,John Madden,Nominee
28,1998,Best Picture,A Simple Plan,Sam Raimi,Nominee
29,1998,Best Picture,The Thin Red Line,Terrence Malick,Nominee
30,1998,Best Picture,The Truman Show,Peter Weir,Nominee
31,1999,Best Picture,American Beauty,Sam Mendes,Winner
32,1999,Best Picture,Being John Malkovich,Spike Jonze,Nominee
33,1999,Best Picture,The Cider House Rules,Lasse Hallström,Nominee
34,1999,Best Picture,The Green Mile,Frank Darabont,Nominee
35,1999,Best Picture,The Insider,Michael Mann,Nominee
36,1999,Best Picture,Magnolia,Paul Thomas Anderson,Nominee
37,1999,Best Picture,Man on the Moon,Miloš Forman,Nominee
38,1999,Best Picture,The Sixth Sense,M. Night Shyamalan,Nominee
39,1999,Best Picture,The Talented Mr. Ripley,Anthony Minghella,Nominee
40,1999,Best Picture,Three Kings,David O. Russell,Nominee
41,2000,Best Picture,Gladiator,Ridley Scott,Winner
42,2000,Best Picture,Almost Famous,Cameron Crowe,Nominee
43,2000,Best Picture,Billy Elliot,Stephen Daldry,Nominee
44,2000,Best Picture,Cast Away,Robert Zemeckis,Nominee
45,2000,Best Picture,"Crouching Tiger, Hidden Dragon",Ang Lee,Nominee
46,2000,Best Picture,Erin Brockovich,Steven Soderbergh,Nominee
47,2000,Best Picture,Quills,Philip Kaufman,Nominee
48,2000,Best Picture,Thirteen Days,Roger Donaldson,Nominee
49,2000,Best Picture,Traffic,Steven Soderbergh,Nominee
50,2000,Best Picture,Wonder Boys,Curtis Hanson,Nominee
51,2000,Best Picture,You Can Count on Me,Kenneth Lonergan,Nominee
52,2001,Best Picture,A Beautiful Mind,Ron Howard,Winner
53,2001,Best Picture,Ali,Michael Mann,Nominee
54,2001,Best Picture,In the Bedroom,Todd Field,Nominee
55,2001,Best Picture,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Nominee
56,2001,Best Picture,The Man Who Wasn't There,Joel Coen,Nominee
57,2001,Best Picture,Memento,Christopher Nolan,Nominee
58,2001,Best Picture,Moulin Rouge!,Baz Luhrmann,Nominee
59,2001,Best Picture,Mulholland Drive,David Lynch,Nominee
60,2001,Best Picture,The Shipping News,Lasse Hallström,Nominee
61,2001,Best Picture,Shrek,Andrew Adamson and Vicky Jenson,Nominee
62,2002,Best Picture,Chicago,Rob Marshall,Winner
63,2002,Best Picture,About Schmidt,Alexander Payne,Nominee
64,2002,Best Picture,Adaptation,Spike Jonze,Nominee
65,2002,Best Picture,Catch Me If You Can,Steven Spielberg,Nominee
66,2002,Best Picture,Far from Heaven,Todd Haynes,Nominee
67,2002,Best Picture,Gangs of New York,Martin Scorsese,Nominee
68,2002,Best Picture,The Hours,Stephen Daldry,Nominee
69,2002,Best Picture,The Lord of the Rings: The Two Towers,Peter Jackson,Nominee
70,2002,Best Picture,The Pianist,Roman Polanski,Nominee
71,2002,Best Picture,Road to Perdition,Sam Mendes,Nominee
72,2003,Best Picture,The Lord of the Rings: The Return of the King,Peter Jackson,Winner
73,2003,Best Picture,Big Fish,Tim Burton,Nominee
74,2003,Best Picture,Cold Mountain,Anthony Minghella,Nominee
75,2003,Best Picture,Finding Nemo,Andrew Stanton,Nominee
76,2003,Best Picture,In America,Jim Sheridan,Nominee
77,2003,Best Picture,The Last Samurai,Edward Zwick,Nominee
78,2003,Best Picture,Lost in Translation,Sofia Coppola,Nominee
79,2003,Best Picture,Master and Commander: The Far Side of the World,Peter Weir,Nominee
80,2003,Best Picture,Mystic River,Clint Eastwood,Nominee
81,2003,Best Picture,Seabiscuit,Gary Ross,Nominee
82,2004,Best Picture,Sideways,Alexander Payne,Winner
83,2004,Best Picture,The Aviator,Martin Scorsese,Nominee
84,2004,Best Picture,Collateral,Michael Mann,Nominee
85,2004,Best Picture,Eternal Sunshine of the Spotless Mind,Michel Gondry,Nominee
86,2004,Best Picture,Finding Neverland,Marc Forster,Nominee
87,2004,Best Picture,Hotel Rwanda,Terry George,Nominee
88,2004,Best Picture,Kinsey,Bill Condon,Nominee
89,2004,Best Picture,Million Dollar Baby,Clint Eastwood,Nominee
90,2004,Best Picture,The Phantom of the Opera,Joel Schumacher,Nominee
91,2004,Best Picture,Ray,Taylor Hackford,Nominee
92,2005,Best Picture,Brokeback Mountain,Ang Lee,Winner
93,2005,Best Picture,Capote,Bennett Miller,Nominee
94,2005,Best Picture,Cinderella Man,Ron Howard,Nominee
95,2005,Best Picture,The Constant Gardener,Fernando Meirelles,Nominee
96,2005,Best Picture,Crash,Paul Haggis,Nominee
97,2005,Best Picture,"Good Night, and Good Luck.",George Clooney,Nominee
98,2005,Best Picture,King Kong,Peter Jackson,Nominee
99,2005,Best Picture,Memoirs of a Geisha,Rob Marshall,Nominee
100,2005,Best Picture,Munich,Steven Spielberg,Nominee
101,2005,Best Picture,Walk the Line,James Mangold,Nominee
102,2006,Best Picture,The Departed,Martin Scorsese,Winner
103,2006,Best Picture,Babel,Alejandro González Iñárritu,Nominee
104,2006,Best Picture,Blood Diamond,Edward Zwick,Nominee
105,2006,Best Picture,Dreamgirls,Bill Condon,Nominee
106,2006,Best Picture,Letters from Iwo Jima,Clint Eastwood,Nominee
107,2006,Best Picture,Little Children,Todd Field,Nominee
108,2006,Best Picture,Little Miss Sunshine,Jonathan Dayton and Valerie Faris,Nominee
109,2006,Best Picture,Notes on a Scandal,Richard Eyre,Nominee
110,2006,Best Picture,The Queen,Stephen Frears,Nominee
111,2006,Best Picture,United 93,Paul Greengrass,Nominee
112,2007,Best Picture,No Country for Old Men,Joel Coen and Ethan Coen,Winner
113,2007,Best Picture,American Gangster,Ridley Scott,Nominee
114,2007,Best Picture,Atonement,Joe Wright,Nominee
115,2007,Best Picture,The Diving Bell and the Butterfly,Julian Schnabel,Nominee
116,2007,Best Picture,Into the Wild,Sean Penn,Nominee
117,2007,Best Picture,Juno,Jason Reitman,Nominee
118,2007,Best Picture,The Kite Runner,Marc Forster,Nominee
119,2007,Best Picture,Michael Clayton,Tony Gilroy,Nominee
120,2007,Best Picture,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,Nominee
121,2007,Best Picture,There Will Be Blood,Paul Thomas Anderson,Nominee
122,2008,Best Picture,Slumdog Millionaire,Danny Boyle,Winner
123,2008,Best Picture,Changeling,Clint Eastwood,Nominee
124,2008,Best Picture,The Curious Case of Benjamin Button,David Fincher,Nominee
125,2008,Best Picture,The Dark Knight,Christopher Nolan,Nominee
126,2008,Best Picture,Doubt,John Patrick Shanley,Nominee
127,2008,Best Picture,Frost/Nixon,Ron Howard,Nominee
