,year_ceremony,category,name,film,oscar,golden_globe,sag,cca
0,1990,Actor In A Leading Role,Kenneth Branagh,Henry V,Nominee,No,No,No
1,1990,Actor In A Leading Role,Tom Cruise,Born On The Fourth Of July,Nominee,No,No,No
2,1990,Actor In A Leading Role,Daniel Day Lewis,My Left Foot,Winner,No,No,No
3,1990,Actor In A Leading Role,Morgan Freeman,Driving Miss Daisy,Nominee,No,No,No
4,1990,Actor In A Leading Role,Robin Williams,Dead Poets Society,Nominee,No,No,No
5,1990,Actor In A Supporting Role,Danny Aiello,Do The Right Thing,Nominee,No,No,No
6,1990,Actor In A Supporting Role,Dan Aykroyd,Driving Miss Daisy,Nominee,No,No,No
7,1990,Actor In A Supporting Role,Marlon Brando,"Dry White Season, A",Nominee,No,No,No
8,1990,Actor In A Supporting Role,Martin Landau,Crimes And Misdemeanors,Nominee,No,No,No
9,1990,Actor In A Supporting Role,Denzel Washington,Glory,Winner,No,No,No
10,1990,Actress In A Leading Role,Isabelle Adjani,Camille Claudel,Nominee,No,No,No
11,1990,Actress In A Leading Role,Pauline Collins,Shirley Valentine,Nominee,No,No,No
12,1990,Actress In A Leading Role,Jessica Lange,Music Box,Nominee,No,No,No
13,1990,Actress In A Leading Role,Michelle Pfeiffer,"Fabulous Baker Boys, The",Nominee,No,No,No
14,1990,Actress In A Leading Role,Jessica Tandy,Driving Miss Daisy,Winner,No,No,No
15,1990,Actress In A Supporting Role,Brenda Fricker,My Left Foot,Winner,No,No,No
16,1990,Actress In A Supporting Role,Anjelica Huston,"Enemies, A Love Story",Nominee,No,No,No
17,1990,Actress In A Supporting Role,Lena Olin,"Enemies, A Love Story",Nominee,No,No,No
18,1990,Actress In A Supporting Role,Julia Roberts,Steel Magnolias,Nominee,No,No,No
19,1990,Actress In A Supporting Role,Dianne Wiest,Parenthood,Nominee,No,No,No
20,1990,Directing,Oliver Stone,Born On The Fourth Of July,Winner,No,No,No
21,1990,Directing,Woody Allen,Crimes And Misdemeanors,Nominee,No,No,No
22,1990,Directing,Peter Weir,Dead Poets Society,Nominee,No,No,No
23,1990,Directing,Kenneth Branagh,Henry V,Nominee,No,No,No
24,1990,Directing,Jim Sheridan,My Left Foot,Nominee,No,No,No
25,1990,International Feature Film,France,Camille Claudel,Nominee,No,No,No
26,1990,International Feature Film,Italy,Cinema Paradiso,Winner,No,No,No
27,1990,International Feature Film,Canada,Jesus Of Montreal,Nominee,No,No,No
28,1990,International Feature Film,Denmark,Waltzing Regitze,Nominee,No,No,No
29,1990,International Feature Film,Puerto Rico,What Happened To Santiago,Nominee,No,No,No
30,1990,Best Picture,"A. Kitman Ho and Oliver Stone, Producers",Born On The Fourth Of July,Nominee,No,No,No
31,1990,Best Picture,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",Dead Poets Society,Nominee,No,No,No
32,1990,Best Picture,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Driving Miss Daisy,Winner,No,No,No
33,1990,Best Picture,"Lawrence Gordon and Charles Gordon, Producers",Field Of Dreams,Nominee,No,No,No
34,1990,Best Picture,"Noel Pearson, Producer",My Left Foot,Nominee,No,No,No
35,1990,Writing (Adapted Screenplay),"Oliver Stone, Ron Kovic",Born On The Fourth Of July,Nominee,No,No,No
36,1990,Writing (Adapted Screenplay),Alfred Uhry,Driving Miss Daisy,Winner,No,No,No
37,1990,Writing (Adapted Screenplay),"Roger L. Simon, Paul Mazursky","Enemies, A Love Story",Nominee,No,No,No
38,1990,Writing (Adapted Screenplay),Phil Alden Robinson,Field Of Dreams,Nominee,No,No,No
