,year_ceremony,category,name,film,golden_globe
4092,1990,Actress In A Leading Role - Drama,Michelle Pfeiffer,"Fabulous Baker Boys, The",Winner
4093,1990,Actress In A Leading Role - Drama,Liv Ullmann,"Rose Garden, The",Nominee
4094,1990,Actress In A Leading Role - Drama,Sally Field,Steel Magnolias,Nominee
4095,1990,Actress In A Leading Role - Drama,Jessica Lange,Music Box,Nominee
4096,1990,Actress In A Leading Role - Drama,Andie MacDowell,"Sex, Lies, And Videotape",Nominee
4097,1990,Actor In A Leading Role - Drama,Tom Cruise,Born On The Fourth Of July,Winner
4098,1990,Actor In A Leading Role - Drama,Daniel Day-Lewis,My Left Foot,Nominee
4099,1990,Actor In A Leading Role - Drama,Jack Lemmon,Dad,Nominee
4100,1990,Actor In A Leading Role - Drama,Al Pacino,Sea Of Love,Nominee
4101,1990,Actor In A Leading Role - Drama,Robin Williams,Dead Poets Society,Nominee
4102,1990,Actress In A Leading Role - Musical or Comedy,Jessica Tandy,Driving Miss Daisy,Winner
4103,1990,Actress In A Leading Role - Musical or Comedy,Pauline Collins,Shirley Valentine,Nominee
4104,1990,Actress In A Leading Role - Musical or Comedy,Meg Ryan,When Harry Met Sally,Nominee
4105,1990,Actress In A Leading Role - Musical or Comedy,Meryl Streep,She-Devil,Nominee
4106,1990,Actress In A Leading Role - Musical or Comedy,Kathleen Turner,"War Of The Roses, The",Nominee
4107,1990,Actor In A Leading Role - Musical or Comedy,Morgan Freeman,Driving Miss Daisy,Winner
4108,1990,Actor In A Leading Role - Musical or Comedy,Jack Nicholson,Batman,Nominee
4109,1990,Actor In A Leading Role - Musical or Comedy,Billy Crystal,When Harry Met Sally,Nominee
4110,1990,Actor In A Leading Role - Musical or Comedy,Michael Douglas,"War Of The Roses, The",Nominee
4111,1990,Actor In A Leading Role - Musical or Comedy,Steve Martin,Parenthood,Nominee
4112,1990,Actress In A Supporting Role,Julia Roberts,Steel Magnolias,Winner
4113,1990,Actress In A Supporting Role,Bridget Fonda,Scandal,Nominee
4114,1990,Actress In A Supporting Role,Brenda Fricker,My Left Foot,Nominee
4115,1990,Actress In A Supporting Role,Laura San Giacomo,"Sex, Lies, And Videotape",Nominee
4116,1990,Actress In A Supporting Role,Dianne Wiest,Parenthood,Nominee
4117,1990,Actor In A Supporting Role,Denzel Washington,Glory,Winner
4118,1990,Actor In A Supporting Role,Bruce Willis,In Country,Nominee
4119,1990,Actor In A Supporting Role,Danny Aiello,Do The Right Thing,Nominee
4120,1990,Actor In A Supporting Role,Marlon Brando,"Dry White Season, A",Nominee
4121,1990,Actor In A Supporting Role,Sean Connery,Indiana Jones And The Last Crusade,Nominee
4122,1990,Actor In A Supporting Role,Ed Harris,Jacknife,Nominee
4123,1990,Directing,Oliver Stone,Born On The Fourth Of July,Winner
