,year_ceremony,category,name,film,oscar
6784,1990,Actor In A Leading Role,Kenneth Branagh,Henry V,Nominee
6785,1990,Actor In A Leading Role,Tom Cruise,Born On The Fourth Of July,Nominee
6786,1990,Actor In A Leading Role,Daniel Day Lewis,My Left Foot,Winner
6787,1990,Actor In A Leading Role,Morgan Freeman,Driving Miss Daisy,Nominee
6788,1990,Actor In A Leading Role,Robin Williams,Dead Poets Society,Nominee
6789,1990,Actor In A Supporting Role,Danny Aiello,Do The Right Thing,Nominee
6790,1990,Actor In A Supporting Role,Dan Aykroyd,Driving Miss Daisy,Nominee
6791,1990,Actor In A Supporting Role,Marlon Brando,A Dry White Season,Nominee
6792,1990,Actor In A Supporting Role,Martin Landau,Crimes And Misdemeanors,Nominee
6793,1990,Actor In A Supporting Role,Denzel Washington,Glory,Winner
6794,1990,Actress In A Leading Role,Isabelle Adjani,Camille Claudel,Nominee
6795,1990,Actress In A Leading Role,Pauline Collins,Shirley Valentine,Nominee
6796,1990,Actress In A Leading Role,Jessica Lange,Music Box,Nominee
6797,1990,Actress In A Leading Role,Michelle Pfeiffer,The Fabulous Baker Boys,Nominee
6798,1990,Actress In A Leading Role,Jessica Tandy,Driving Miss Daisy,Winner
6799,1990,Actress In A Supporting Role,Brenda Fricker,My Left Foot,Winner
6800,1990,Actress In A Supporting Role,Anjelica Huston,"Enemies, A Love Story",Nominee
6801,1990,Actress In A Supporting Role,Lena Olin,"Enemies, A Love Story",Nominee
6802,1990,Actress In A Supporting Role,Julia Roberts,Steel Magnolias,Nominee
6803,1990,Actress In A Supporting Role,Dianne Wiest,Parenthood,Nominee
6819,1990,Directing,Oliver Stone,Born On The Fourth Of July,Winner
6820,1990,Directing,Woody Allen,Crimes And Misdemeanors,Nominee
6821,1990,Directing,Peter Weir,Dead Poets Society,Nominee
6822,1990,Directing,Kenneth Branagh,Henry V,Nominee
6823,1990,Directing,Jim Sheridan,My Left Foot,Nominee
6837,1990,International Feature Film,France,Camille Claudel,Nominee
6838,1990,International Feature Film,Italy,Cinema Paradiso,Winner
6839,1990,International Feature Film,Canada,Jesus Of Montreal,Nominee
6840,1990,International Feature Film,Denmark,Waltzing Regitze,Nominee
6841,1990,International Feature Film,Puerto Rico,What Happened To Santiago,Nominee
6855,1990,Best Picture,"A. Kitman Ho and Oliver Stone, Producers",Born On The Fourth Of July,Nominee
6856,1990,Best Picture,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",Dead Poets Society,Nominee
6857,1990,Best Picture,"Richard D. Zanuck and Lili Fini Zanuck, Producers",Driving Miss Daisy,Winner
6858,1990,Best Picture,"Lawrence Gordon and Charles Gordon, Producers",Field Of Dreams,Nominee
6859,1990,Best Picture,"Noel Pearson, Producer",My Left Foot,Nominee
6877,1990,Writing (Adapted Screenplay),"Oliver Stone, Ron Kovic",Born On The Fourth Of July,Nominee
6878,1990,Writing (Adapted Screenplay),Alfred Uhry,Driving Miss Daisy,Winner
6879,1990,Writing (Adapted Screenplay),"Roger L. Simon, Paul Mazursky","Enemies, A Love Story",Nominee
6880,1990,Writing (Adapted Screenplay),Phil Alden Robinson,Field Of Dreams,Nominee
6881,1990,Writing (Adapted Screenplay),"Jim Sheridan, Shane Connaughton",My Left Foot,Nominee
6882,1990,Writing (Original Screenplay),Woody Allen,Crimes And Misdemeanors,Nominee
6883,1990,Writing (Original Screenplay),Tom Schulman,Dead Poets Society,Winner
6884,1990,Writing (Original Screenplay),Spike Lee,Do The Right Thing,Nominee
6885,1990,Writing (Original Screenplay),Steven Soderbergh,"Sex, Lies, And Videotape",Nominee
6886,1990,Writing (Original Screenplay),Nora Ephron,When Harry Met Sally...,Nominee
6889,1991,Actor In A Leading Role,Kevin Costner,Dances With Wolves,Nominee
6890,1991,Actor In A Leading Role,Robert De Niro,Awakenings,Nominee
6891,1991,Actor In A Leading Role,Gerard Depardieu,Cyrano De Bergerac,Nominee
6892,1991,Actor In A Leading Role,Richard Harris,The Field,Nominee
6893,1991,Actor In A Leading Role,Jeremy Irons,Reversal Of Fortune,Winner
6894,1991,Actor In A Supporting Role,Bruce Davison,Longtime Companion,Nominee
6895,1991,Actor In A Supporting Role,Andy Garcia,"The Godfather, Part Iii",Nominee
6896,1991,Actor In A Supporting Role,Graham Greene,Dances With Wolves,Nominee
6897,1991,Actor In A Supporting Role,Al Pacino,Dick Tracy,Nominee
6898,1991,Actor In A Supporting Role,Joe Pesci,Good Fellas,Winner
6899,1991,Actress In A Leading Role,Kathy Bates,Misery,Winner
6900,1991,Actress In A Leading Role,Anjelica Huston,The Grifters,Nominee
6901,1991,Actress In A Leading Role,Julia Roberts,Pretty Woman,Nominee
6902,1991,Actress In A Leading Role,Meryl Streep,Postcards From The Edge,Nominee
6903,1991,Actress In A Leading Role,Joanne Woodward,Mr. & Mrs. Bridge,Nominee
6904,1991,Actress In A Supporting Role,Annette Bening,The Grifters,Nominee
6905,1991,Actress In A Supporting Role,Lorraine Bracco,Good Fellas,Nominee
6906,1991,Actress In A Supporting Role,Whoopi Goldberg,Ghost,Winner
6907,1991,Actress In A Supporting Role,Diane Ladd,Wild At Heart,Nominee
6908,1991,Actress In A Supporting Role,Mary McDonnell,Dances With Wolves,Nominee
6924,1991,Directing,Kevin Costner,Dances With Wolves,Winner
6925,1991,Directing,Francis Ford Coppola,"The Godfather, Part Iii",Nominee
6926,1991,Directing,Martin Scorsese,Good Fellas,Nominee
6927,1991,Directing,Stephen Frears,The Grifters,Nominee
6928,1991,Directing,Barbet Schroeder,Reversal Of Fortune,Nominee
6944,1991,International Feature Film,France,Cyrano De Bergerac,Nominee
6945,1991,International Feature Film,Switzerland,Journey Of Hope,Winner
6946,1991,International Feature Film,People's Republic of China,Ju Dou,Nominee
6947,1991,International Feature Film,Germany,The Nasty Girl,Nominee
6948,1991,International Feature Film,Italy,Open Doors,Nominee
6962,1991,Best Picture,"Walter F. Parkes and Lawrence Lasker, Producers",Awakenings,Nominee
6963,1991,Best Picture,"Jim Wilson and Kevin Costner, Producers",Dances With Wolves,Winner
6964,1991,Best Picture,"Lisa Weinstein, Producer",Ghost,Nominee
6965,1991,Best Picture,"Francis Ford Coppola, Producer","The Godfather, Part Iii",Nominee
6966,1991,Best Picture,"Irwin Winkler, Producer",Good Fellas,Nominee
6983,1991,Writing (Adapted Screenplay),Steven Zaillian,Awakenings,Nominee
6984,1991,Writing (Adapted Screenplay),Michael Blake,Dances With Wolves,Winner
6985,1991,Writing (Adapted Screenplay),"Nicholas Pileggi, Martin Scorsese",Good Fellas,Nominee
6986,1991,Writing (Adapted Screenplay),Donald E. Westlake,The Grifters,Nominee
6987,1991,Writing (Adapted Screenplay),Nicholas Kazan,Reversal Of Fortune,Nominee
6988,1991,Writing (Original Screenplay),Woody Allen,Alice,Nominee
6989,1991,Writing (Original Screenplay),Barry Levinson,Avalon,Nominee
6990,1991,Writing (Original Screenplay),Bruce Joel Rubin,Ghost,Winner
