,year_ceremony,category,name,film,sag
5,2020,Actress in a Leading Role,Cynthia Erivo,Harriet,Nominee
6,2020,Actress in a Leading Role,Scarlett Johansson,Marriage Story,Nominee
7,2020,Actress in a Leading Role,Lupita Nyong'O,Us,Nominee
8,2020,Actress in a Leading Role,Charlize Theron,Bombshell,Nominee
9,2020,Actress in a Leading Role,Renée Zellweger,Judy,Winner
10,2020,Actor in a Leading Role,Christian Bale,Ford V Ferrari,Nominee
11,2020,Actor in a Leading Role,Leonardo Dicaprio,Once Upon A Time...In Hollywood,Nominee
12,2020,Actor in a Leading Role,Adam Driver,Marriage Story,Nominee
13,2020,Actor in a Leading Role,Taron Egerton,Rocketman,Nominee
14,2020,Actor in a Leading Role,Joaquin Phoenix,Joker,Winner
15,2020,Actress in a Supporting Role,Laura Dern,Marriage Story,Winner
16,2020,Actress in a Supporting Role,Scarlett Johansson,Jojo Rabbit,Nominee
17,2020,Actress in a Supporting Role,Nicole Kidman,Bombshell,Nominee
18,2020,Actress in a Supporting Role,Jennifer Lopez,Hustlers,Nominee
19,2020,Actress in a Supporting Role,Margot Robbie,Bombshell,Nominee
20,2020,Actor in a Supporting Role,Jamie Foxx,Just Mercy,Nominee
21,2020,Actor in a Supporting Role,Tom Hanks,A Beautiful Day In The Neighborhood,Nominee
22,2020,Actor in a Supporting Role,Al Pacino,The Irishman,Nominee
23,2020,Actor in a Supporting Role,Joe Pesci,The Irishman,Nominee
24,2020,Actor in a Supporting Role,Brad Pitt,Once Upon A Time...In Hollywood,Winner
260,2019,Actress in a Leading Role,Lady Gaga,A Star Is Born ,Nominee
261,2019,Actress in a Leading Role,Melissa Mccarthy,Can You Ever Forgive Me?,Nominee
262,2019,Actress in a Leading Role,Emily Blunt,Mary Poppins Returns,Nominee
263,2019,Actress in a Leading Role,Olivia Colman,The Favourite,Nominee
264,2019,Actress in a Leading Role,Glenn Close,The Wife,Winner
265,2019,Actress in a Supporting Role,Emily Blunt,A Quiet Place,Winner
266,2019,Actress in a Supporting Role,Margot Robbie,Mary Queen Of Scots,Nominee
267,2019,Actress in a Supporting Role,Emma Stone,The Favourite,Nominee
268,2019,Actress in a Supporting Role,Rachel Weisz,The Favourite,Nominee
269,2019,Actress in a Supporting Role,Amy Adams,Vice,Nominee
285,2019,Actor in a Leading Role,Bradley Cooper,A Star Is Born ,Nominee
286,2019,Actor in a Leading Role,John David Washington,Blackkklansman,Nominee
287,2019,Actor in a Leading Role,Rami Malek,Bohemian Rhapsody,Winner
288,2019,Actor in a Leading Role,Viggo Mortensen,Green Book,Nominee
289,2019,Actor in a Leading Role,Christian Bale,Vice,Nominee
290,2019,Actor in a Supporting Role,Sam Elliott,A Star Is Born,Nominee
291,2019,Actor in a Supporting Role,Timothée Chalamet,Beautiful Boy ,Nominee
292,2019,Actor in a Supporting Role,Adam Driver,Blackkklansman,Nominee
293,2019,Actor in a Supporting Role,Richard E. Grant,Can You Ever Forgive Me?,Nominee
294,2019,Actor in a Supporting Role,Mahershala Ali,Green Book,Winner
547,2018,Actress in a Leading Role,Margot Robbie,"I, Tonya",Nominee
548,2018,Actress in a Leading Role,Saoirse Ronan,Lady Bird,Nominee
549,2018,Actress in a Leading Role,Sally Hawkins,The Shape Of Water,Nominee
550,2018,Actress in a Leading Role,Frances Mcdormand,Three Billboards Outside Ebbing Missouri,Winner
551,2018,Actress in a Leading Role,Judi Dench,Victoria & Abdul,Nominee
552,2018,Actress in a Supporting Role,Hong Chau,Downsizing,Nominee
553,2018,Actress in a Supporting Role,Allison Janney,"I, Tonya",Nominee
554,2018,Actress in a Supporting Role,Laurie Metcalf,Lady Bird,Nominee
555,2018,Actress in a Supporting Role,Mary J. Blige,Mudbound,Nominee
556,2018,Actress in a Supporting Role,Holly Hunter,The Big Sick,Nominee
573,2018,Actor in a Leading Role,Timothée Chalamet,Call Me By Your Name,Nominee
574,2018,Actor in a Leading Role,Gary Oldman,Darkest Hour,Winner
575,2018,Actor in a Leading Role,Daniel Kaluuya,Get Out,Nominee
576,2018,Actor in a Leading Role,James Franco,The Disaster Artist,Nominee
577,2018,Actor in a Supporting Role,Steve Carell,Battle Of The Sexes,Nominee
578,2018,Actor in a Supporting Role,Willem Dafoe,The Florida Project,Nominee
579,2018,Actor in a Supporting Role,Richard Jenkins,The Shape Of Water,Nominee
580,2018,Actor in a Supporting Role,Sam Rockwell,Three Billboards Outside Ebbing Missouri,Winner
581,2018,Actor in a Supporting Role,Woody Harrelson,Three Billboards Outside Ebbing Missouri,Nominee
843,2017,Actress in a Leading Role,Amy Adams,Arrival,Nominee
844,2017,Actress in a Leading Role,Meryl Streep,Florence Foster Jenkins,Nominee
845,2017,Actress in a Leading Role,Natalie Portman,Jackie,Nominee
846,2017,Actress in a Leading Role,Emma Stone,La La Land,Winner
847,2017,Actress in a Leading Role,Emily Blunt,The Girl On The Train,Nominee
848,2017,Actress in a Supporting Role,Viola Davis,Fences,Winner
