year,category,full_name,show,won
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,BOMBSHELL,False
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,THE IRISHMAN,False
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,JOJO RABBIT,False
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,ONCE UPON A TIME...IN HOLLYWOOD,False
2020 - 26th Annual Screen Actors Guild Awards, CAST IN A MOTION PICTURE,,PARASITE,True
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,CYNTHIA ERIVO,HARRIET,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,SCARLETT JOHANSSON,MARRIAGE STORY,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,LUPITA NYONG'O,US,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,CHARLIZE THERON,BOMBSHELL,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A LEADING ROLE,RENÉE ZELLWEGER,JUDY,True
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,CHRISTIAN BALE,FORD V FERRARI,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,LEONARDO DICAPRIO,ONCE UPON A TIME...IN HOLLYWOOD,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,ADAM DRIVER,MARRIAGE STORY,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,TARON EGERTON,ROCKETMAN,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A LEADING ROLE,JOAQUIN PHOENIX,JOKER,True
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,LAURA DERN,MARRIAGE STORY,True
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,SCARLETT JOHANSSON,JOJO RABBIT,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,NICOLE KIDMAN,BOMBSHELL,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,JENNIFER LOPEZ,HUSTLERS,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A SUPPORTING ROLE,MARGOT ROBBIE,BOMBSHELL,False
